source,line,kind,active_line,shader,exists,menu,raw
portable_config/input_uosc.conf,186,menu,False,Anime4K/Anime4K_Thin_VeryFast.glsl,True,着色器 > Anime4K > 线条变细系列  > Anime4K_Thin_VeryFast,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Thin_VeryFast.glsl""            #! 着色器 > Anime4K > 线条变细系列  > Anime4K_Thin_VeryFast"
portable_config/input_uosc.conf,187,menu,False,Anime4K/Anime4K_Thin_Fast.glsl,True,着色器 > Anime4K > 线条变细系列  > Anime4K_Thin_Fast,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Thin_Fast.glsl""                #! 着色器 > Anime4K > 线条变细系列  > Anime4K_Thin_Fast"
portable_config/input_uosc.conf,188,menu,False,Anime4K/Anime4K_Thin_HQ.glsl,True,着色器 > Anime4K > 线条变细系列  > Anime4K_Thin_HQ （推荐）,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Thin_HQ.glsl""                  #! 着色器 > Anime4K > 线条变细系列  > Anime4K_Thin_HQ （推荐）"
portable_config/input_uosc.conf,190,menu,False,Anime4K/Anime4K_Upscale_CNN_x2_S.glsl,True,着色器 > Anime4K > 放大系列 > CNN变体(2倍) > Anime4K_Upscale_CNN_x2_S,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Upscale_CNN_x2_S.glsl""          #! 着色器 > Anime4K > 放大系列 > CNN变体(2倍) > Anime4K_Upscale_CNN_x2_S"
portable_config/input_uosc.conf,191,menu,False,Anime4K/Anime4K_Upscale_CNN_x2_M.glsl,True,着色器 > Anime4K > 放大系列 > CNN变体(2倍) > Anime4K_Upscale_CNN_x2_M,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Upscale_CNN_x2_M.glsl""          #! 着色器 > Anime4K > 放大系列 > CNN变体(2倍) > Anime4K_Upscale_CNN_x2_M"
portable_config/input_uosc.conf,192,menu,False,Anime4K/Anime4K_Upscale_CNN_x2_L.glsl,True,着色器 > Anime4K > 放大系列 > CNN变体(2倍) > Anime4K_Upscale_CNN_x2_L,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Upscale_CNN_x2_L.glsl""          #! 着色器 > Anime4K > 放大系列 > CNN变体(2倍) > Anime4K_Upscale_CNN_x2_L"
portable_config/input_uosc.conf,193,menu,False,Anime4K/Anime4K_Upscale_CNN_x2_VL.glsl,True,着色器 > Anime4K > 放大系列 > CNN变体(2倍) > Anime4K_Upscale_CNN_x2_VL,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Upscale_CNN_x2_VL.glsl""         #! 着色器 > Anime4K > 放大系列 > CNN变体(2倍) > Anime4K_Upscale_CNN_x2_VL"
portable_config/input_uosc.conf,194,menu,False,Anime4K/Anime4K_Upscale_CNN_x2_UL.glsl,True,着色器 > Anime4K > 放大系列 > CNN变体(2倍) > Anime4K_Upscale_CNN_x2_UL,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Upscale_CNN_x2_UL.glsl""         #! 着色器 > Anime4K > 放大系列 > CNN变体(2倍) > Anime4K_Upscale_CNN_x2_UL"
portable_config/input_uosc.conf,195,menu,False,Anime4K/Anime4K_Upscale_GAN_x2_S.glsl,True,着色器 > Anime4K > 放大系列 > GAN变体(不同倍率) > Anime4K_Upscale_GAN_x2_S,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Upscale_GAN_x2_S.glsl""          #! 着色器 > Anime4K > 放大系列 > GAN变体(不同倍率) > Anime4K_Upscale_GAN_x2_S"
portable_config/input_uosc.conf,196,menu,False,Anime4K/Anime4K_Upscale_GAN_x2_M.glsl,True,着色器 > Anime4K > 放大系列 > GAN变体(不同倍率) > Anime4K_Upscale_GAN_x2_M,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Upscale_GAN_x2_M.glsl""          #! 着色器 > Anime4K > 放大系列 > GAN变体(不同倍率) > Anime4K_Upscale_GAN_x2_M"
